time	roll	pitch	yew	p	q	r	Ail	Ele	Rud	Throttle	dt	freq
0	-7.02	171.3	-23.05	-0.12	0.9	-0.3	1515	1500	1514	1076	0	0
0.0029	-7.05	171.23	-23.04	-0.24	0.66	-0.12	1515	1500	1514	1076	0.0029	343
0.0058	-7.09	171.17	-23.04	-0.42	0.84	0.37	1515	1500	1514	1076	0.0029	345
0.0087	-7.13	171.11	-23.05	-0.18	0.78	-0.67	1515	1500	1514	1076	0.0029	345
0.0116	-7.17	171.05	-23.06	-0.18	0.72	-0.06	1515	1500	1514	1076	0.0029	345
0.0145	-7.22	170.99	-23.07	-0.06	0.78	-0.06	1515	1500	1514	1076	0.0029	341
0.0174	-7.26	170.93	-23.07	-0.18	0.78	-0.06	1515	1500	1514	1076	0.0029	345
0.0203	-7.3	170.87	-23.08	0	0.66	-0.06	1515	1500	1514	1076	0.0029	345
0.0232	-7.35	170.81	-23.09	-0.24	1.02	-0.18	1515	1500	1514	1076	0.0029	344
0.0261	-7.39	170.75	-23.1	-0.18	0.66	-0.24	1515	1500	1514	1076	0.0029	345
0.029	-7.43	170.68	-23.1	-0.06	0.48	-0.48	1515	1500	1514	1076	0.0029	345
0.0319	-7.47	170.62	-23.11	-0.49	0.66	-0.12	1515	1500	1514	1076	0.0029	344
0.0348	-7.51	170.56	-23.12	-0.18	0.72	0	1515	1500	1514	1076	0.0029	345
0.0377	-7.56	170.49	-23.13	-0.06	0.78	-0.36	1515	1500	1514	1076	0.0029	345
0.0406	-7.6	170.43	-23.13	-0.18	0.66	-0.3	1515	1500	1514	1076	0.0029	345
0.0435	-7.64	170.37	-23.14	-0.18	0.84	0.31	1515	1500	1514	1076	0.0029	344
0.0464	-7.69	170.3	-23.15	-0.18	0.72	-0.24	1515	1500	1514	1076	0.0029	345
0.0493	-7.73	170.24	-23.16	-0.3	0.72	-0.48	1515	1500	1514	1076	0.0029	345
0.0522	-7.77	170.17	-23.17	-0.36	0.9	-0.12	1515	1500	1514	1076	0.0029	345
0.0551	-7.82	170.11	-23.18	-0.24	0.78	-0.12	1515	1500	1514	1076	0.0029	345
0.058	-7.86	170.04	-23.19	-0.24	0.48	-0.3	1515	1500	1514	1076	0.0029	344
0.0609	-7.91	169.97	-23.2	-0.06	0.48	-0.24	1515	1500	1514	1076	0.0029	345
0.0639	-7.96	169.9	-23.21	0	0.48	-0.18	1515	1500	1514	1076	0.003	338
0.0668	-8	169.84	-23.22	-0.49	0.9	-0.18	1515	1500	1514	1076	0.0029	345
0.0697	-8.05	169.77	-23.23	-0.42	0.6	-0.3	1515	1500	1514	1076	0.0029	344
0.0726	-8.09	169.7	-23.23	-0.24	0.9	-0.42	1515	1500	1514	1076	0.0029	345
0.0755	-8.14	169.63	-23.24	-0.18	0.78	0.06	1515	1500	1514	1076	0.0029	345
0.0784	-8.18	169.56	-23.25	-0.3	0.78	-0.42	1515	1500	1514	1076	0.0029	345
0.0813	-8.23	169.49	-23.27	-0.12	0.72	-0.12	1515	1500	1514	1076	0.0029	344
0.0842	-8.28	169.42	-23.28	-0.18	0.84	-0.06	1515	1500	1514	1076	0.0029	345
0.0871	-8.33	169.35	-23.29	-0.3	0.72	-0.18	1515	1500	1514	1076	0.0029	345
0.09	-8.37	169.28	-23.3	-0.12	0.72	0.13	1515	1500	1514	1076	0.0029	345
0.0929	-8.42	169.21	-23.31	-0.12	0.72	-0.55	1515	1500	1514	1076	0.0029	345
0.0958	-8.47	169.14	-23.32	-0.06	0.66	0.25	1515	1500	1514	1076	0.0029	345
0.0987	-8.51	169.07	-23.33	-0.12	0.96	-0.06	1515	1500	1514	1076	0.0029	344
0.1016	-8.56	169	-23.34	-0.18	0.9	-0.12	1515	1500	1514	1076	0.0029	344
0.1045	-8.61	168.93	-23.35	-0.06	0.6	-0.18	1515	1500	1514	1076	0.0029	344
0.1074	-8.66	168.85	-23.36	-0.3	0.66	-0.48	1515	1500	1514	1076	0.0029	345
0.1103	-8.71	168.78	-23.37	-0.3	0.9	-0.18	1515	1500	1514	1076	0.0029	344
0.1132	-8.75	168.7	-23.38	-0.18	0.66	0.25	1515	1500	1514	1076	0.0029	345
0.1161	-8.81	168.63	-23.39	-0.12	0.66	-0.24	1515	1500	1514	1076	0.0029	345
0.119	-8.86	168.56	-23.41	0.25	0.72	-0.12	1515	1500	1514	1076	0.0029	344
0.1219	-8.91	168.48	-23.42	-0.06	0.66	-0.24	1515	1500	1514	1076	0.0029	345
0.1248	-8.96	168.4	-23.43	-0.18	0.78	-0.06	1515	1500	1514	1076	0.0029	344
0.1277	-9.01	168.33	-23.44	-0.36	0.84	-0.24	1515	1500	1514	1076	0.0029	345
0.1306	-9.06	168.25	-23.45	-0.18	0.72	-0.06	1515	1500	1514	1076	0.0029	344
0.1335	-9.12	168.17	-23.47	0	0.66	0	1515	1500	1514	1076	0.0029	344
0.1364	-9.17	168.09	-23.48	0.06	0.72	-0.3	1515	1500	1514	1076	0.0029	345
0.1393	-9.22	168.02	-23.49	0	0.54	-0.18	1515	1500	1514	1076	0.0029	344
0.1422	-9.28	167.94	-23.5	-0.12	0.78	-0.18	1515	1500	1514	1076	0.0029	345
0.1451	-9.33	167.86	-23.51	-0.18	0.54	-0.42	1515	1500	1514	1076	0.0029	345
0.148	-9.39	167.78	-23.52	-0.36	0.6	-0.61	1515	1500	1514	1076	0.0029	345
0.1509	-9.44	167.7	-23.54	-0.12	0.84	-0.12	1515	1500	1514	1076	0.0029	344
0.1538	-9.5	167.62	-23.55	-0.12	0.78	0.06	1515	1500	1514	1076	0.0029	344
0.1567	-9.55	167.54	-23.56	-0.12	0.78	-0.55	1515	1500	1514	1076	0.0029	345
0.1596	-9.61	167.46	-23.58	-0.12	0.84	-0.06	1515	1500	1514	1076	0.0029	344
0.1625	-9.66	167.38	-23.59	-0.3	0.78	0	1515	1500	1514	1076	0.0029	345
