Selected: MPU9250
Beginning Gyro calibration...
Offsets are: 0.014412 -0.003427 0.005250
Let's go Fly ! 
time, Roll, Pitch, Yaw, p, q, r, RollCom, PitchCom, YawCom, pCom, qCom, rCom, Ail, Ele, Rud, Thro, FRmot, FLmot, BRmot, BLmot, dtsum, freq
0.0000,  -9.786, +167.298, +28.504,  +0.025,  -0.000,  -0.167,  -1.834,  -1.767,  -0.147, +19.882, -422.661,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0049, 202
0.0049,  -9.835, +167.229, +28.494,  +0.015,  -0.005,  -0.170,  -1.834,  -1.767,  -0.147, +20.004, -422.490,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 198
0.0100,  -9.884, +167.161, +28.483,  +0.023,  -0.000,  -0.155,  -1.834,  -1.767,  -0.147, +20.126, -422.319,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0150,  -9.930, +167.090, +28.471,  -0.036,  +0.004,  -0.143,  -1.834,  -1.767,  -0.147, +20.241, -422.142,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0200,  -9.978, +167.020, +28.459,  -0.029,  +0.032,  -0.116,  -1.834,  -1.767,  -0.147, +20.360, -421.968,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0250, -10.026, +166.948, +28.447,  -0.040,  +0.015,  -0.109,  -1.834,  -1.767,  -0.147, +20.482, -421.787,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0300, -10.075, +166.878, +28.435,  -0.041,  +0.033,  -0.111,  -1.834,  -1.767,  -0.147, +20.605, -421.612,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0350, -10.121, +166.806, +28.423,  -0.034,  -0.001,  -0.097,  -1.834,  -1.767,  -0.147, +20.719, -421.431,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0400, -10.172, +166.737, +28.410,  -0.060,  +0.036,  -0.076,  -1.834,  -1.767,  -0.147, +20.845, -421.258,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0450, -10.221, +166.666, +28.398,  -0.059,  +0.043,  -0.074,  -1.834,  -1.767,  -0.147, +20.970, -421.081,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0500, -10.270, +166.595, +28.386,  -0.065,  +0.033,  -0.081,  -1.834,  -1.767,  -0.147, +21.090, -420.904,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0550, -10.319, +166.518, +28.372,  -0.055,  +0.024,  -0.038,  -1.834,  -1.767,  -0.147, +21.215, -420.712,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0600, -10.370, +166.445, +28.359,  -0.037,  +0.025,  -0.033,  -1.834,  -1.767,  -0.147, +21.341, -420.529,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0650, -10.420, +166.370, +28.345,  -0.022,  +0.033,  -0.029,  -1.834,  -1.767,  -0.147, +21.466, -420.342,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0700, -10.470, +166.294, +28.332,  +0.008,  +0.008,  -0.051,  -1.834,  -1.767,  -0.147, +21.592, -420.151,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0750, -10.520, +166.218, +28.318,  +0.008,  -0.023,  -0.019,  -1.834,  -1.767,  -0.147, +21.717, -419.962,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0801, -10.569, +166.147, +28.305,  -0.007,  +0.001,  -0.034,  -1.834,  -1.767,  -0.147, +21.840, -419.784,  -0.220, 1491, 1512 ,1515 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
