Selected: MPU9250
Beginning Gyro calibration...
Offsets are: 0.010075 0.004034 0.004247
Let's go Fly ! 
time, Roll, Pitch, Yaw, p, q, r, RollCom, PitchCom, YawCom, pCom, qCom, rCom, Ail, Ele, Rud, Thro, FRmot, FLmot, BRmot, BLmot, dtsum, freq
0.0000, -48.149, +136.408, +46.083,  -0.039,  +0.018,  -0.123,  +2.776,  -2.286,  -0.244, +127.313, -346.735,  -0.366, 1535, 1507 ,1514 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 200
0.0050, -48.308, +136.103, +45.858,  +0.076,  -0.024,  -0.170,  +2.776,  -2.286,  -0.244, +127.711, -345.974,  -0.366, 1535, 1507 ,1514 ,1078, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.0101, -48.462, +135.795, +45.629,  +0.028,  -0.168,  -0.009,  +2.776,  -2.286,  -0.244, +128.095, -345.204,  -0.366, 1535, 1507 ,1514 ,1078, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.0151, -48.615, +135.486, +45.398,  +0.022,  -0.067,  -0.029,  +2.776,  -2.286,  -0.244, +128.479, -344.432,  -0.366, 1535, 1507 ,1514 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 198
0.0202, -48.769, +135.172, +45.162,  +0.042,  +0.020,  +0.053,  +2.776,  -2.286,  -0.244, +128.863, -343.646,  -0.366, 1535, 1507 ,1514 ,1078, 1000, 1000 ,1900 ,1900, 0.0051, 196
0.0253, -48.919, +134.859, +44.927,  +0.054,  +0.025,  +0.103,  +2.776,  -2.286,  -0.244, +129.240, -342.862,  -0.366, 1535, 1507 ,1514 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 198
0.0303, -49.071, +134.546, +44.692,  +0.038,  -0.019,  +0.016,  +2.776,  -2.286,  -0.244, +129.619, -342.080,  -0.366, 1535, 1507 ,1514 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0353, -49.222, +134.223, +44.449,  +0.052,  -0.070,  -0.014,  +2.776,  -2.286,  -0.244, +129.997, -341.275,  -0.366, 1535, 1507 ,1514 ,1078, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.0404, -49.373, +133.903, +44.205,  +0.037,  +0.064,  +0.133,  +2.776,  -2.286,  -0.244, +130.375, -340.473,  -0.366, 1535, 1507 ,1514 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 198
0.0455, -49.521, +133.576, +43.958,  -0.020,  -0.066,  +0.199,  +2.776,  -2.286,  -0.244, +130.743, -339.656,  -0.366, 1535, 1507 ,1514 ,1078, 1000, 1000 ,1900 ,1900, 0.0050, 199
