Selected: MPU9250
Beginning Gyro calibration...
Offsets are: 0.013430 0.003880 0.001569
Start Motor Calibration
Let's go Fly ! 
time, Roll, Pitch, Yaw, p, q, r, RollCom, PitchCom, YawCom, pCom, qCom, rCom, Ail, Ele, Rud, Thro, FRmot, FLmot, BRmot, BLmot, dtsum, freq
0.0000, -20.600, +179.950, +34.087,  -0.023,  +0.040,  +0.017,  +3.196,  -2.806,  -0.147, +59.490, -456.889,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0096, 103
0.0096, -20.703, +179.944, +34.084,  -0.077,  +0.010,  -0.026,  +3.196,  -2.806,  -0.147, +59.747, -456.874,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 196
0.0147, -20.807, +179.936, +34.081,  +0.056,  -0.056,  +0.067,  +3.196,  -2.806,  -0.147, +60.006, -456.854,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 196
0.0198, -20.916, +179.928, +34.079,  +0.019,  -0.097,  +0.004,  +3.196,  -2.806,  -0.147, +60.280, -456.834,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 195
0.0249, -21.025, +179.919, +34.075,  +0.044,  -0.097,  +0.038,  +3.196,  -2.806,  -0.147, +60.552, -456.812,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.0299, -21.133, +179.910, +34.070,  +0.035,  -0.098,  +0.154,  +3.196,  -2.806,  -0.147, +60.823, -456.790,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0052, 193
0.0351, -21.241, +179.904, +34.069,  +0.030,  -0.027,  +0.011,  +3.196,  -2.806,  -0.147, +61.091, -456.774,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.0402, -21.348, +179.896, +34.066,  +0.003,  -0.055,  -0.030,  +3.196,  -2.806,  -0.147, +61.358, -456.756,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 194
0.0453, -21.457, +179.893, +34.064,  +0.129,  +0.046,  -0.055,  +3.196,  -2.806,  -0.147, +61.631, -456.746,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.0504, -21.566, +179.886, +34.061,  +0.134,  +0.014,  -0.022,  +3.196,  -2.806,  -0.147, +61.905, -456.729,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 196
0.0555, -21.674, +179.880, +34.059,  -0.028,  -0.006,  -0.002,  +3.196,  -2.806,  -0.147, +62.174, -456.715,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.0605, -21.783, +179.872, +34.057,  -0.056,  -0.019,  +0.034,  +3.196,  -2.806,  -0.147, +62.447, -456.694,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.0656, -21.892, +179.863, +34.054,  -0.026,  +0.069,  -0.039,  +3.196,  -2.806,  -0.147, +62.720, -456.671,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.0707, -22.002, +179.853, +34.051,  -0.222,  +0.003,  -0.060,  +3.196,  -2.806,  -0.147, +62.994, -456.648,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 195
0.0758, -22.115, +179.846, +34.048,  -0.104,  -0.036,  -0.026,  +3.196,  -2.806,  -0.147, +63.276, -456.630,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.0808, -22.227, +179.835, +34.042,  -0.055,  -0.013,  +0.043,  +3.196,  -2.806,  -0.147, +63.557, -456.602,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.0859, -22.341, +179.828, +34.038,  +0.022,  +0.001,  +0.109,  +3.196,  -2.806,  -0.147, +63.842, -456.584,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.0909, -22.453, +179.823, +34.037,  -0.050,  -0.014,  +0.006,  +3.196,  -2.806,  -0.147, +64.121, -456.571,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 196
0.0960, -22.567, +179.814, +34.032,  +0.002,  +0.000,  -0.056,  +3.196,  -2.806,  -0.147, +64.407, -456.551,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.1010, -22.680, +179.806, +34.027,  -0.086,  +0.009,  +0.096,  +3.196,  -2.806,  -0.147, +64.688, -456.531,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 196
0.1061, -22.796, +179.798, +34.024,  -0.021,  +0.038,  +0.023,  +3.196,  -2.806,  -0.147, +64.980, -456.510,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.1111, -22.912, +179.791, +34.021,  -0.052,  +0.032,  +0.001,  +3.196,  -2.806,  -0.147, +65.269, -456.493,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 195
0.1162, -23.029, +179.783, +34.019,  -0.095,  -0.019,  -0.059,  +3.196,  -2.806,  -0.147, +65.561, -456.472,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 195
0.1213, -23.147, +179.779, +34.019,  -0.026,  -0.026,  -0.049,  +3.196,  -2.806,  -0.147, +65.857, -456.463,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.1264, -23.262, +179.771, +34.015,  -0.078,  -0.054,  +0.052,  +3.196,  -2.806,  -0.147, +66.144, -456.442,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.1314, -23.380, +179.762, +34.011,  -0.111,  +0.000,  +0.019,  +3.196,  -2.806,  -0.147, +66.438, -456.421,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 194
0.1365, -23.495, +179.754, +34.009,  -0.083,  -0.038,  -0.095,  +3.196,  -2.806,  -0.147, +66.726, -456.399,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 198
0.1416, -23.612, +179.745, +34.005,  -0.090,  -0.085,  -0.071,  +3.196,  -2.806,  -0.147, +67.019, -456.377,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 198
0.1466, -23.727, +179.738, +34.001,  -0.094,  +0.004,  +0.015,  +3.196,  -2.806,  -0.147, +67.306, -456.359,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.1516, -23.846, +179.726, +33.996,  -0.073,  -0.154,  +0.115,  +3.196,  -2.806,  -0.147, +67.603, -456.329,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.1567, -23.965, +179.715, +33.992,  +0.011,  -0.109,  +0.011,  +3.196,  -2.806,  -0.147, +67.902, -456.302,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 198
0.1617, -24.086, +179.712, +33.990,  +0.063,  +0.013,  +0.018,  +3.196,  -2.806,  -0.147, +68.205, -456.295,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.1668, -24.206, +179.704, +33.989,  +0.094,  +0.041,  -0.238,  +3.196,  -2.806,  -0.147, +68.504, -456.274,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 198
0.1718, -24.328, +179.696, +33.986,  -0.006,  -0.038,  -0.205,  +3.196,  -2.806,  -0.147, +68.809, -456.256,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 195
0.1769, -24.449, +179.686, +33.982,  +0.029,  -0.038,  -0.185,  +3.196,  -2.806,  -0.147, +69.112, -456.230,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.1820, -24.573, +179.677, +33.979,  +0.074,  -0.085,  -0.102,  +3.196,  -2.806,  -0.147, +69.422, -456.208,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 195
0.1871, -24.696, +179.667, +33.976,  +0.053,  -0.067,  -0.169,  +3.196,  -2.806,  -0.147, +69.729, -456.183,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.1921, -24.822, +179.659, +33.973,  +0.065,  -0.079,  -0.211,  +3.196,  -2.806,  -0.147, +70.044, -456.163,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 196
0.1972, -24.947, +179.652, +33.970,  +0.072,  -0.016,  -0.212,  +3.196,  -2.806,  -0.147, +70.355, -456.144,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 198
0.2023, -25.072, +179.643, +33.967,  +0.100,  +0.023,  -0.190,  +3.196,  -2.806,  -0.147, +70.668, -456.123,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.2073, -25.198, +179.634, +33.964,  +0.046,  +0.023,  -0.128,  +3.196,  -2.806,  -0.147, +70.984, -456.100,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.2124, -25.323, +179.627, +33.959,  +0.013,  +0.094,  -0.091,  +3.196,  -2.806,  -0.147, +71.296, -456.082,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.2174, -25.450, +179.616, +33.954,  -0.008,  +0.066,  +0.051,  +3.196,  -2.806,  -0.147, +71.614, -456.054,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.2225, -25.576, +179.608, +33.949,  +0.074,  +0.167,  +0.113,  +3.196,  -2.806,  -0.147, +71.929, -456.035,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.2275, -25.703, +179.599, +33.945,  +0.125,  +0.040,  +0.057,  +3.196,  -2.806,  -0.147, +72.246, -456.013,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.2326, -25.831, +179.591, +33.941,  +0.037,  +0.010,  +0.093,  +3.196,  -2.806,  -0.147, +72.565, -455.993,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 196
0.2376, -25.958, +179.578, +33.936,  +0.031,  -0.032,  -0.003,  +3.196,  -2.806,  -0.147, +72.884, -455.961,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.2427, -26.087, +179.570, +33.933,  +0.098,  -0.035,  -0.014,  +3.196,  -2.806,  -0.147, +73.207, -455.939,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.2477, -26.217, +179.560, +33.928,  +0.116,  -0.083,  -0.045,  +3.196,  -2.806,  -0.147, +73.532, -455.915,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.2528, -26.349, +179.549, +33.923,  +0.103,  -0.042,  -0.016,  +3.196,  -2.806,  -0.147, +73.861, -455.888,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 198
0.2578, -26.478, +179.545, +33.921,  +0.001,  +0.030,  -0.117,  +3.196,  -2.806,  -0.147, +74.184, -455.877,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.2629, -26.606, +179.536, +33.918,  +0.032,  -0.067,  -0.108,  +3.196,  -2.806,  -0.147, +74.504, -455.856,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.2679, -26.736, +179.527, +33.914,  +0.052,  +0.015,  -0.031,  +3.196,  -2.806,  -0.147, +74.830, -455.833,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.2729, -26.869, +179.513, +33.907,  +0.016,  +0.042,  +0.016,  +3.196,  -2.806,  -0.147, +75.160, -455.799,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.2780, -27.000, +179.499, +33.900,  -0.076,  -0.060,  +0.116,  +3.196,  -2.806,  -0.147, +75.489, -455.764,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 198
0.2830, -27.136, +179.494, +33.897,  -0.015,  -0.075,  +0.106,  +3.196,  -2.806,  -0.147, +75.828, -455.750,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
0.2881, -27.269, +179.483, +33.893,  +0.094,  -0.037,  +0.052,  +3.196,  -2.806,  -0.147, +76.161, -455.723,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0050, 199
0.2931, -27.405, +179.474, +33.888,  +0.184,  -0.014,  +0.067,  +3.196,  -2.806,  -0.147, +76.501, -455.699,  -0.220, 1539, 1502 ,1515 ,1079, 1000, 1000 ,1900 ,1900, 0.0051, 197
