Selected: MPU9250
Beginning Gyro calibration...
Offsets are: 0.014002 -0.002454 0.005903
Start Motor Calibration
Let's go Fly ! 
time, Roll, Pitch, Yaw, p, q, r, RollCom, PitchCom, YawCom, pCom, qCom, rCom, Ail, Ele, Rud, Thro, FRmot, FLmot, BRmot, BLmot, dtsum, freq
0.0000, +23.536, +168.805, +31.164,  +0.080,  +0.173,  -0.028,  -0.576,  +1.663,  +0.049, -60.280, -417.857,  +0.000, 1503, 1545 ,1517 ,1081, 1000, 1000 ,1765 ,1572, 0.0056, 177
0.0056, +23.658, +168.734, +31.193,  -0.103,  -0.010,  -0.089,  -0.576,  +1.663,  +0.049, -60.586, -417.677,  +0.000, 1503, 1545 ,1517 ,1081, 1000, 1000 ,1764 ,1571, 0.0056, 180
0.0112, +23.779, +168.660, +31.223,  +0.202,  -0.010,  -0.211,  -0.576,  +1.663,  +0.049, -60.887, -417.494,  +0.000, 1503, 1545 ,1517 ,1081, 1000, 1000 ,1765 ,1570, 0.0054, 184
0.0166, +23.898, +168.587, +31.252,  -0.164,  -0.010,  +0.277,  -0.576,  +1.663,  +0.049, -61.185, -417.309,  +0.000, 1503, 1545 ,1517 ,1081, 1000, 1000 ,1765 ,1569, 0.0054, 184
0.0220, +24.020, +168.514, +31.281,  +0.202,  +0.112,  -0.089,  -0.576,  +1.663,  +0.049, -61.490, -417.128,  +0.000, 1503, 1545 ,1517 ,1081, 1000, 1000 ,1766 ,1568, 0.0054, 183
0.0275, +24.142, +168.441, +31.311,  -0.164,  +0.234,  +0.094,  -0.576,  +1.663,  +0.049, -61.795, -416.945,  +0.000, 1503, 1545 ,1517 ,1081, 1000, 1000 ,1766 ,1568, 0.0054, 185
0.0329, +24.265, +168.367, +31.341,  -0.286,  -0.071,  -0.089,  -0.576,  +1.663,  +0.049, -62.104, -416.761,  +0.000, 1503, 1545 ,1517 ,1081, 1000, 1000 ,1765 ,1567, 0.0055, 183
0.0383, +24.388, +168.292, +31.372,  -0.225,  -0.071,  +0.033,  -0.576,  +1.663,  +0.049, -62.410, -416.572,  +0.000, 1503, 1545 ,1517 ,1081, 1000, 1000 ,1765 ,1566, 0.0054, 186
0.0437, +24.513, +168.215, +31.404,  +0.019,  +0.051,  -0.089,  -0.576,  +1.663,  +0.049, -62.722, -416.381,  +0.000, 1503, 1545 ,1517 ,1081, 1000, 1000 ,1766 ,1565, 0.0055, 183
0.0491, +24.637, +168.140, +31.435,  +0.324,  -0.071,  -0.028,  -0.576,  +1.663,  +0.049, -63.032, -416.192,  +0.000, 1503, 1545 ,1517 ,1081, 1000, 1000 ,1767 ,1564, 0.0054, 184
