Selected: MPU9250
Beginning Gyro calibration...
Offsets are: 0.011544 -0.004228 0.010455
Let's go Fly ! 
time, Roll, Pitch, Yaw, p, q, r, RollCom, PitchCom, YawCom, pCom, qCom, rCom, Ail, Ele, Rud, Thro, FRmot, FLmot, BRmot, BLmot, dtsum, freq
0.0000, -15.011, -173.369, +67.299,  -0.124,  -0.235,  -0.072,  +0.367,  +1.351,  -0.147, +38.445, +436.801,  -0.220, 1512, 1542 ,1515 ,1078, 1900, 1900 ,1000 ,1000, 0.0053, 187
0.0053, -15.091, -173.338, +67.306,  +0.181,  +0.009,  -0.011,  +0.367,  +1.351,  -0.147, +38.645, +436.722,  -0.220, 1512, 1542 ,1515 ,1078, 1900, 1900 ,1000 ,1000, 0.0054, 184
0.0107, -15.171, -173.308, +67.313,  +0.059,  -0.235,  +0.050,  +0.367,  +1.351,  -0.147, +38.844, +436.648,  -0.220, 1512, 1542 ,1515 ,1078, 1900, 1900 ,1000 ,1000, 0.0054, 185
0.0161, -15.252, -173.278, +67.322,  +0.242,  -0.052,  +0.233,  +0.367,  +1.351,  -0.147, +39.047, +436.572,  -0.220, 1512, 1542 ,1515 ,1078, 1900, 1900 ,1000 ,1000, 0.0054, 183
0.0216, -15.333, -173.245, +67.330,  -0.307,  +0.070,  +0.111,  +0.367,  +1.351,  -0.147, +39.249, +436.491,  -0.220, 1512, 1542 ,1515 ,1078, 1900, 1900 ,1000 ,1000, 0.0054, 185
0.0270, -15.414, -173.214, +67.338,  +0.303,  +0.436,  +0.172,  +0.367,  +1.351,  -0.147, +39.452, +436.414,  -0.220, 1512, 1542 ,1515 ,1078, 1900, 1900 ,1000 ,1000, 0.0054, 185
0.0323, -15.496, -173.184, +67.346,  +0.059,  -0.417,  +0.172,  +0.367,  +1.351,  -0.147, +39.656, +436.337,  -0.220, 1512, 1542 ,1515 ,1078, 1900, 1900 ,1000 ,1000, 0.0053, 187
0.0377, -15.577, -173.153, +67.355,  +0.181,  +0.070,  +0.294,  +0.367,  +1.351,  -0.147, +39.859, +436.260,  -0.220, 1512, 1542 ,1515 ,1078, 1900, 1900 ,1000 ,1000, 0.0054, 185
0.0431, -15.659, -173.122, +67.364,  -0.246,  +0.070,  +0.294,  +0.367,  +1.351,  -0.147, +40.065, +436.181,  -0.220, 1512, 1542 ,1515 ,1078, 1900, 1900 ,1000 ,1000, 0.0054, 185
0.0484, -15.742, -173.091, +67.371,  -0.063,  +0.070,  +0.599,  +0.367,  +1.351,  -0.147, +40.272, +436.104,  -0.220, 1512, 1542 ,1515 ,1078, 1900, 1900 ,1000 ,1000, 0.0054, 185
