Selected: MPU9250
Beginning Gyro calibration...
Offsets are: 0.011766 -0.003790 0.005096
Let's go Fly ! 
time, Roll, Pitch, Yaw, p, q, r, RollCom, PitchCom, YawCom, pCom, qCom, rCom, Ail, Ele, Rud, Thro, FRmot, FLmot, BRmot, BLmot, dtsum, freq
0.0000,  +5.792, -166.557, -51.998,  -0.027,  +0.058,  -0.196,  +0.367,  +1.975,  -0.147, -13.564, +421.330,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0054, 186
0.0054,  +5.822, -166.483, -52.006,  +0.034,  -0.003,  +0.292,  +0.367,  +1.975,  -0.147, -13.639, +421.144,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0054, 185
0.0107,  +5.853, -166.408, -52.013,  -0.027,  +0.058,  -0.013,  +0.367,  +1.975,  -0.147, -13.716, +420.957,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0054, 184
0.0162,  +5.883, -166.335, -52.021,  +0.095,  -0.369,  -0.013,  +0.367,  +1.975,  -0.147, -13.791, +420.774,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0054, 185
0.0215,  +5.912, -166.261, -52.029,  +0.034,  +0.058,  -0.013,  +0.367,  +1.975,  -0.147, -13.863, +420.590,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0054, 184
0.0269,  +5.945, -166.184, -52.037,  +0.339,  -0.247,  -0.196,  +0.367,  +1.975,  -0.147, -13.947, +420.396,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0055, 181
0.0325,  +5.977, -166.109, -52.044,  -0.027,  +0.180,  -0.013,  +0.367,  +1.975,  -0.147, -14.025, +420.210,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0054, 185
0.0379,  +6.009, -166.033, -52.052,  -0.149,  +0.241,  +0.231,  +0.367,  +1.975,  -0.147, -14.105, +420.019,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0055, 183
0.0433,  +6.038, -165.957, -52.061,  -0.210,  -0.003,  +0.048,  +0.367,  +1.975,  -0.147, -14.179, +419.828,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0054, 185
0.0487,  +6.071, -165.878, -52.070,  +0.217,  -0.064,  -0.196,  +0.367,  +1.975,  -0.147, -14.260, +419.632,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0055, 183
0.0542,  +6.102, -165.801, -52.078,  +0.095,  -0.552,  +0.170,  +0.367,  +1.975,  -0.147, -14.338, +419.439,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0054, 186
0.0595,  +6.134, -165.724, -52.086,  +0.156,  +0.180,  +0.170,  +0.367,  +1.975,  -0.147, -14.418, +419.247,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0055, 182
0.0650,  +6.167, -165.646, -52.094,  +0.034,  -0.064,  -0.135,  +0.367,  +1.975,  -0.147, -14.500, +419.050,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0055, 183
0.0704,  +6.198, -165.567, -52.102,  -0.088,  -0.430,  -0.013,  +0.367,  +1.975,  -0.147, -14.579, +418.854,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0054, 184
0.0759,  +6.231, -165.489, -52.111,  -0.088,  -0.125,  -0.074,  +0.367,  +1.975,  -0.147, -14.661, +418.659,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0053, 187
0.0812,  +6.264, -165.408, -52.120,  -0.149,  +0.058,  +0.475,  +0.367,  +1.975,  -0.147, -14.743, +418.457,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0054, 184
0.0866,  +6.297, -165.328, -52.129,  +0.217,  -0.064,  -0.135,  +0.367,  +1.975,  -0.147, -14.825, +418.256,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0054, 184
0.0920,  +6.329, -165.248, -52.137,  +0.217,  -0.003,  -0.257,  +0.367,  +1.975,  -0.147, -14.905, +418.055,  -0.220, 1512, 1548 ,1515 ,1092, 1900, 1900 ,1000 ,1000, 0.0054, 184
